frac_migration1  frac_migration2  logmhcrit  prob1  prob2  ssfr1  ssfr2  lnprob
0.2817  0.9617  12.6282  0.0151  0.5338  -10.8221  -9.6149  -0.1203
0.2323  0.8003  12.5955  0.7231  0.3783  -10.8611  -9.1037  -0.1307
0.5187  0.1115  12.5942  0.9874  0.8534  -11.3407  -9.8431  -0.1581
0.4672  0.6165  12.6545  0.0765  0.3874  -11.0782  -9.9416  -0.0749
0.8472  0.8486  12.3159  0.5707  0.2600  -10.9293  -9.1932  -0.0377
0.1050  0.0720  12.2810  0.5091  0.7556  -11.0281  -9.3063  -0.1351
0.5652  0.8044  12.3282  0.3098  0.9622  -10.9902  -9.4685  -0.2449
0.7456  0.5252  12.4967  0.2575  0.9908  -11.0480  -9.9639  -0.3772
0.2434  0.9553  12.4065  0.0987  0.9140  -11.0042  -9.3577  -0.1169
0.4369  0.3916  12.3414  0.5571  0.5202  -10.9764  -9.7735  -0.0727
0.8210  0.5836  12.5566  0.2147  0.4633  -11.0907  -9.2247  -0.1266
0.4898  0.6247  12.6558  0.6363  0.7562  -10.8745  -9.3435  -0.1021
0.6293  0.8639  12.2859  0.4593  0.4797  -10.7761  -9.0995  -0.0716
0.7567  0.7330  12.3014  0.6155  0.2412  -11.0181  -9.3182  -0.0374
0.2817  0.9617  12.6282  0.0151  0.5338  -10.8221  -9.6149  -0.1203
0.2249  0.7761  12.5906  0.8291  0.3550  -10.8669  -9.0272  -0.1411
0.5187  0.1115  12.5942  0.9874  0.8534  -11.3407  -9.8431  -0.1581
0.4672  0.6165  12.6545  0.0765  0.3874  -11.0782  -9.9416  -0.0749
0.8472  0.8486  12.3159  0.5707  0.2600  -10.9293  -9.1932  -0.0377
0.1050  0.0720  12.2810  0.5091  0.7556  -11.0281  -9.3063  -0.1351
0.5652  0.8044  12.3282  0.3098  0.9622  -10.9902  -9.4685  -0.2449
0.7456  0.5252  12.4967  0.2575  0.9908  -11.0480  -9.9639  -0.3772
0.2434  0.9553  12.4065  0.0987  0.9140  -11.0042  -9.3577  -0.1169
0.3516  0.1171  12.3502  0.7216  0.2264  -10.9673  -9.9762  -0.1414
0.8210  0.5836  12.5566  0.2147  0.4633  -11.0907  -9.2247  -0.1266
0.4540  0.6386  12.6781  0.6893  0.7234  -10.8502  -9.2567  -0.0812
0.6423  0.8760  12.2773  0.4896  0.3817  -10.7327  -9.0246  -0.0512
0.7567  0.7330  12.3014  0.6155  0.2412  -11.0181  -9.3182  -0.0374
0.2817  0.9617  12.6282  0.0151  0.5338  -10.8221  -9.6149  -0.1203
0.2249  0.7761  12.5906  0.8291  0.3550  -10.8669  -9.0272  -0.1411
0.5187  0.1115  12.5942  0.9874  0.8534  -11.3407  -9.8431  -0.1581
0.4672  0.6165  12.6545  0.0765  0.3874  -11.0782  -9.9416  -0.0749
0.8472  0.8486  12.3159  0.5707  0.2600  -10.9293  -9.1932  -0.0377
0.1050  0.0720  12.2810  0.5091  0.7556  -11.0281  -9.3063  -0.1351
0.5652  0.8044  12.3282  0.3098  0.9622  -10.9902  -9.4685  -0.2449
0.7456  0.5252  12.4967  0.2575  0.9908  -11.0480  -9.9639  -0.3772
0.2434  0.9553  12.4065  0.0987  0.9140  -11.0042  -9.3577  -0.1169
0.3516  0.1171  12.3502  0.7216  0.2264  -10.9673  -9.9762  -0.1414
0.8338  0.5725  12.5681  0.2099  0.4382  -11.0957  -9.2125  -0.1178
0.4540  0.6386  12.6781  0.6893  0.7234  -10.8502  -9.2567  -0.0812
0.6304  0.8583  12.3032  0.4613  0.3821  -10.7563  -9.0874  -0.0515
0.7567  0.7330  12.3014  0.6155  0.2412  -11.0181  -9.3182  -0.0374
0.2817  0.9617  12.6282  0.0151  0.5338  -10.8221  -9.6149  -0.1203
0.2249  0.7761  12.5906  0.8291  0.3550  -10.8669  -9.0272  -0.1411
0.5931  0.2204  12.5880  0.8037  0.7553  -11.2828  -9.6941  -0.1667
0.4672  0.6165  12.6545  0.0765  0.3874  -11.0782  -9.9416  -0.0749
0.9277  0.8450  12.3207  0.6113  0.2146  -10.9936  -9.2325  -0.0319
0.0577  0.0396  12.2624  0.5285  0.7762  -11.0237  -9.3124  -0.3174
0.5652  0.8044  12.3282  0.3098  0.9622  -10.9902  -9.4685  -0.2449
0.7456  0.5252  12.4967  0.2575  0.9908  -11.0480  -9.9639  -0.3772
0.2434  0.9553  12.4065  0.0987  0.9140  -11.0042  -9.3577  -0.1169
0.3430  0.0894  12.3511  0.7382  0.1967  -10.9663  -9.9967  -0.1630
0.8338  0.5725  12.5681  0.2099  0.4382  -11.0957  -9.2125  -0.1178
0.4540  0.6386  12.6781  0.6893  0.7234  -10.8502  -9.2567  -0.0812
0.6304  0.8583  12.3032  0.4613  0.3821  -10.7563  -9.0874  -0.0515
0.7567  0.7330  12.3014  0.6155  0.2412  -11.0181  -9.3182  -0.0374
0.2817  0.9617  12.6282  0.0151  0.5338  -10.8221  -9.6149  -0.1203
0.2249  0.7762  12.5907  0.8287  0.3551  -10.8669  -9.0275  -0.1403
0.5931  0.2204  12.5880  0.8037  0.7553  -11.2828  -9.6941  -0.1667
0.4672  0.6165  12.6545  0.0765  0.3874  -11.0782  -9.9416  -0.0749
0.9277  0.8450  12.3207  0.6113  0.2146  -10.9936  -9.2325  -0.0319
0.1000  0.1034  12.3067  0.5457  0.7706  -11.0052  -9.3065  -0.1385
0.5652  0.8044  12.3282  0.3098  0.9622  -10.9902  -9.4685  -0.2449
0.7259  0.5038  12.4896  0.2811  0.9518  -11.0440  -9.9655  -0.3524
0.2434  0.9553  12.4065  0.0987  0.9140  -11.0042  -9.3577  -0.1169
0.3430  0.0894  12.3511  0.7382  0.1967  -10.9663  -9.9967  -0.1630
0.8338  0.5725  12.5681  0.2099  0.4382  -11.0957  -9.2125  -0.1178
0.4540  0.6386  12.6781  0.6893  0.7234  -10.8502  -9.2567  -0.0812
0.6201  0.8562  12.3104  0.4706  0.3814  -10.7591  -9.0858  -0.0508
0.7567  0.7330  12.3014  0.6155  0.2412  -11.0181  -9.3182  -0.0374
0.2817  0.9617  12.6282  0.0151  0.5338  -10.8221  -9.6149  -0.1203
